City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,sikasso,11.0861,-5.439,298.7,68,99,1.95,ML
97,oum hadjer,12.5013,19.9574,304.99,28,14,1.77,TD
98,myitkyina,26.5128,98.1362,281.01,68,0,2.37,MM
99,santo angelo,-28.1937,-54.11,301.82,70,2,3.79,BR
100,ad dabbah,18.0126,29.5317,298.58,13,77,5.3,SD
101,una,-15.3448,-39.0792,301.89,70,40,3.09,BR
102,sassenberg,52.0106,8.0441,286.58,70,31,5.69,DE
103,nkurenkuru,-16.3492,19.5578,297.23,46,91,1.38,AO
104,igarka,67.034,82.7304,271.03,85,100,6.35,RU
105,zuni pueblo,34.3718,-108.4933,297.33,12,0,4.28,US
106,ivdel',62.9488,60.7461,272.42,72,93,5.19,RU
107,asahikawa,43.7691,142.4393,276.07,93,95,3.1,JP
108,anacapri,40.5701,14.1219,294.26,72,1,6.41,IT
109,ingeniero guillermo n. juarez,-23.3665,-61.1027,315.75,19,23,9.28,PY
110,rikaze,33.4121,86.0096,264.65,66,66,0.94,CN
111,vadso,72.3514,28.1688,274.49,63,100,7.78,NO
112,cajuru,-21.2702,-47.3584,304.86,44,7,2.58,BR
113,gannan,48.8214,123.4453,273.87,84,5,2.33,CN
114,robbah,31.9272,7.5545,295.67,21,100,2.64,DZ
115,san pedro,17.6498,-86.709,301.61,62,98,6.03,BZ
116,jinchang,39.7391,103.066,279.83,36,11,1.94,CN
117,songea,-10.6768,36.6782,294.65,66,7,1.37,TZ
118,xapuri,-10.5867,-68.3532,311.26,23,88,1.92,BR
119,verkhnevilyuysk,63.9127,119.3714,268.25,97,92,2.27,RU
120,belel,6.9622,15.4069,292.65,88,34,0.7,CF
121,qamdo,34.9529,96.3119,266.6,80,99,0.69,CN
122,betio village,2.9868,172.7646,301.3,77,71,4.56,KI
123,mahabe,-16.549,44.0979,300.02,74,0,3.34,MG
124,okhotsk,58.6678,142.9683,275.75,97,100,18.43,RU
125,rudnya,54.9831,31.2427,277.3,72,100,7.23,RU
126,kununurra,-16.6114,133.2994,298.38,46,0,5.42,AU
127,altania,-23.8829,-53.8819,305.08,41,1,1.7,BR
128,saveh,35.3977,50.4129,290.04,41,2,1.96,IR
129,gao,16.6903,0.4009,307.11,17,100,3.49,ML
130,benoni,-26.0592,28.448,297.22,40,3,2.76,ZA
131,new norfolk,-43.8196,145.4881,284.83,94,100,8.29,AU
132,ves'yegonsk,58.4356,37.8237,273.39,67,44,3.17,RU
133,chadan,50.8846,92.1657,273.15,69,100,0.66,RU
134,la ronge,57.096,-105.6041,278.14,56,0,5.14,CA
135,yulinshi,37.427,109.0252,280.13,59,0,2.19,CN
136,kangding,32.6533,101.0185,270.27,91,78,0.58,CN
137,sangola,17.2874,75.4535,298.65,51,56,4.26,IN
138,asbury,42.4556,-90.9129,292.14,43,0,10.29,US
139,smithers,52.6805,-126.5581,275.01,59,5,1.3,CA
140,sibut,6.1849,19.7979,295.52,89,13,0.86,CF
141,carentan,49.3032,-1.1658,285.86,88,100,3.75,FR
142,rogovskaya,45.8544,38.804,289.53,84,7,2.67,RU
143,broken hill,-30.2421,143.0359,286.82,51,0,7.36,AU
144,santa flavia,38.7889,13.8317,295.87,68,0,8.04,IT
145,yilan,24.7196,122.9638,298.63,66,87,8.73,JP
146,belokurikha,52.0786,84.5713,277.91,63,100,2.81,RU
147,qurayyat,30.6162,37.3251,296.36,29,85,4.19,JO
148,murghob,38.9479,74.5023,270.69,51,100,1.16,TJ
149,jincheng,24.3438,118.325,295.55,96,100,10.04,TW
150,thunder bay,51.8251,-87.5786,279.69,52,94,1.83,CA
151,santyoku,37.119,130.3897,289.52,47,0,5.46,KR
152,mutuali,-14.7852,38.0147,300.36,50,51,2.84,MZ
153,ilebo,-4.7074,20.7806,295.73,82,16,0.59,CD
154,wynyard,-42.7152,143.7024,284.67,89,100,3.61,AU
